ID_NUMBER,DATA_HORA,COR,NUMERO_DA_BOLA
z1xQOZw4kp,2023-02-21 00:00:00,Preto,10
5k0LqJy8kY,2023-02-21 00:00:00,Preto,8
Rl8XjoLXlK,2023-02-21 00:00:00,Preto,11
V1qoVXDXlB,2023-02-21 00:00:00,Vermelho,7
erWEg5ngkX,2023-02-21 00:00:00,Branco,0
8r22wXpNrb,2023-02-21 00:00:00,Vermelho,4
8kGbNg3m1Z,2023-02-21 00:00:00,Vermelho,5
V1anwzMQke,2023-02-21 00:00:00,Preto,10
blRLagPm1O,2023-02-21 00:00:00,Vermelho,1
Kl5azXOQl9,2023-02-21 00:00:00,Vermelho,2
2l4GWPdvkn,2023-02-21 00:00:00,Preto,14
LknDL0XXr3,2023-02-21 00:00:00,Vermelho,5
RlvYanyJkj,2023-02-21 00:00:00,Vermelho,5
4lQ7EgXx1n,2023-02-21 00:00:00,Vermelho,3
okgVo5JA1y,2023-02-21 00:00:00,Vermelho,2
J1mvJg46kj,2023-02-21 00:00:00,Preto,14
w1DaE7GmkE,2023-02-21 00:00:00,Preto,13
5rVXomPOkK,2023-02-21 00:00:00,Preto,13
O1BROQ6W1K,2023-02-21 00:00:00,Vermelho,7
ekj6EgzNk9,2023-02-21 00:00:00,Preto,13
Arwd0zbD1z,2023-02-21 00:00:00,Vermelho,7
Kl3XGDYyrN,2023-02-21 00:00:00,Preto,11
plzXYndO1n,2023-02-21 00:00:00,Vermelho,5
EryVZ8YN1j,2023-02-21 00:00:00,Preto,14
RkbWYvJwlL,2023-02-21 00:00:00,Vermelho,2
R1p2mVval5,2023-02-21 00:00:00,Vermelho,3
elYnz5DGrL,2023-02-21 00:00:00,Vermelho,1
WldVmgJA13,2023-02-21 00:00:00,Vermelho,5
9rKbOLzNl6,2023-02-21 00:00:00,Preto,9
G17zJD7jrZ,2023-02-21 00:00:00,Vermelho,6
ylLzg9Gb1G,2023-02-21 00:00:00,Vermelho,1
M19X6De7rA,2023-02-21 00:00:00,Vermelho,7
mlN6dLxblv,2023-02-21 00:00:00,Preto,12
AlAmq6eMlG,2023-02-21 00:00:00,Vermelho,6
EryVZ8YR1j,2023-02-21 00:00:00,Preto,9
R1p2mVvLl5,2023-02-21 00:00:00,Vermelho,7
elYnz5QorL,2023-02-21 00:00:00,Preto,10
